,Player,country,Span,Mat,Inns,Overs,Mdns,Runs,Wkts,Ave,Econ,SR,4,5,Unnamed: 14
9,JO Holder,(West Indies),2014-2019,17,17,62.1,0,524,13,40.3,8.42,28.6,0,0,
10,JK Kamande,(KENYA),2007-2010,12,10,34.2,1,212,13,16.3,6.17,15.8,0,0,
11,AR McBrine,(Ireland),2014-2017,19,13,29,0,216,13,16.61,7.44,13.3,0,0,
12,A Mansale,(VAN),2019-2019,14,10,26,0,176,13,13.53,6.76,12,0,0,
13,Mohammad Asif,(Pakistan),2006-2010,11,11,42.5,1,343,13,26.38,8,19.7,1,0,
14,Mohammad Shahzad,(UAE),2015-2017,20,19,48.1,0,411,13,31.61,8.53,22.2,0,0,
15,M Muralitharan,(Srilanka),2006-2010,12,12,47,0,297,13,22.84,6.31,21.6,0,0,
16,TJ Murtagh,(Ireland),2012-2016,14,14,44.4,0,324,13,24.92,7.25,20.6,0,0,
17,JDS Neesham,(Newzealand),2012-2019,18,16,37.4,0,323,13,24.84,8.57,17.3,0,0,
18,GH O'Brien,(BMUDA),2008-2019,11,11,38.3,2,232,13,17.84,6.02,17.7,0,0,
19,YK Pathan,(INDIA),2007-2012,22,17,50.5,0,438,13,33.69,8.61,23.4,0,0,
20,Pavandeep Singh,(MAL),2019-2019,10,10,35.1,0,249,13,19.15,7.08,16.2,0,0,
21,RW Price,(Zimbabve),2008-2012,16,16,61.3,4,378,13,29.07,6.14,28.3,0,0,
22,SK Raina,(INDIA),2006-2018,78,27,58.1,0,442,13,34,7.59,26.8,0,0,
23,PADLR Sandakan,(Srilanka),2017-2019,14,14,55,1,400,13,30.76,7.27,25.3,1,0,
24,S Snater,(Netherland),2018-2019,13,12,34.5,0,337,13,25.92,9.67,16,0,0,
25,Tamoor Sajjad,(QAT),2019-2019,12,12,43.2,1,309,13,23.76,7.13,20,0,0,
26,RN ten Doeschate,(Netherland),2008-2019,22,10,35,0,245,13,18.84,7,16.1,0,0,
27,Usman Shinwari,(Pakistan),2013-2019,16,16,51,0,424,13,32.61,8.31,23.5,0,0,
28,Arafat Sunny,(Bangladesh),2014-2016,10,10,31,0,230,12,19.16,7.41,15.5,0,0,
29,Baljit Singh,(ITA),2019-2019,8,7,23,0,127,12,10.58,5.52,11.5,1,0,
30,TS Chisoro,(Zimbabve),2015-2018,12,12,46,1,316,12,26.33,6.86,23,0,0,
31,PWH de Silva,(Srilanka),2019-2019,8,8,25.4,0,204,12,17,7.94,12.8,0,0,
32,GDR Eranga,(Canada),2019-2019,9,9,31.5,1,204,12,17,6.4,15.9,0,0,
33,MG Erasmus,(NAM),2019-2019,16,10,32.1,0,171,12,14.25,5.31,16,0,0,
34,Ibrahim Hassan,(Mald),2019-2019,11,11,35.5,1,291,12,24.25,8.12,17.9,0,1,
35,JH Kallis,(South Africa),2005-2012,25,19,46,1,333,12,27.75,7.23,23,1,0,
36,LC Le Tissier,(GUE),2019-2019,9,9,35,0,207,12,17.25,5.91,17.5,0,0,
37,N Madziva,(Zimbabve),2015-2019,15,15,46.5,0,417,12,34.75,8.9,23.4,1,0,
38,WP Masakadza,(Zimbabve),2015-2019,12,12,40,1,312,12,26,7.8,20,1,0,
39,AD Mascarenhas,(England),2007-2009,14,14,42,0,309,12,25.75,7.35,21,0,0,
40,BMAJ Mendis,(Srilanka),2011-2018,22,14,35,0,249,12,20.75,7.11,17.5,0,0,
41,Mohammad Nawaz,3,(Pakistan),201602018,16,16,50,1,340,12,28.33,6.8,25,0,0
42,Mohammad Saifuddin,(Bangladesh),2017-2019,13,13,43,0,386,12,32.16,8.97,21.5,1,0,
43,Muhammad Kashif,(KUW),2019-2019,10,9,27,1,212,12,17.66,7.85,13.5,0,0,
44,J Mulder,(Ireland),2016-2017,8,8,29,0,192,12,16,6.62,14.5,1,0,
45,JD Nel,(Scotland),2007-2010,10,9,31,3,169,12,14.08,5.45,15.5,0,0,
46,T Shamsi,(South Africa),2017-2019,16,16,57,1,429,12,35.75,7.52,28.5,0,0,
47,BDH Stevens,(JER),2019-2019,17,14,40.2,0,249,12,20.75,6.17,20.1,0,0,
48,Taskin Ahmed,(Bangladesh),2014-2018,19,17,55.5,1,438,12,36.5,7.84,27.9,0,0,
49,J Theron,(South Africa),2010-2012,9,9,32.2,0,261,12,21.75,8.07,16.1,1,0,
0,SO Tikolo,(KENYA),2007-2013,15,10,28.2,0,168,12,14,5.92,14.1,1,0,
1,Umar Adam,(Mald),2019-2019,11,8,27,0,168,12,14,6.22,13.5,0,0,
2,S Vijayakumar,(SGP),2019-2019,9,9,28,1,204,12,17,7.28,14,1,0,
3,Zulfiqar Babar,(Pakistan),2013-2014,7,7,26,1,185,12,15.41,7.11,13,0,0,
4,Abdur Rehman,(Pakistan),2007-2013,8,8,26,0,192,11,17.45,7.38,14.1,0,0,
5,Aftab Alam,(Afghanistan),2012-2018,12,12,40.5,0,324,11,29.45,7.93,22.2,0,0,
6,Anwar Rahman,(MAL),2019-2019,9,8,23.3,1,117,11,10.63,4.97,12.8,1,0,
7,MA Baig,(MWI),2019-2019,7,7,26,0,160,11,14.54,6.15,14.1,1,0,
8,RP Burl,(Zimbabve),2018-2019,16,15,33,1,279,11,25.36,8.45,18,0,0,
9,DT Christian,(Australia),2010-2017,16,16,35.3,0,317,11,28.81,8.92,19.3,0,0,
10,N Dutta,(Canada),2019-2019,11,11,39,0,253,11,23,6.48,21.2,0,0,
11,Irfan Ahmed,(Hong Kong),2014-2015,8,8,27,0,190,11,17.27,7.03,14.7,0,0,
12,D Maisuria,(Botsw),2019-2019,6,5,17.1,0,121,11,11,7.04,9.3,1,0,
13,NO Miller,(West Indies),2009-2014,9,9,31.4,0,224,11,20.36,7.07,17.2,0,0,
14,Mohammed Nadeem,(QAT),2019-2019,15,15,52,0,364,11,33.09,7,28.3,0,0,
15,Muhamad Syahadat,(MAL),2019-2019,10,8,21,0,127,11,11.54,6.04,11.4,0,0,
16,L Ngidi,(South Africa),2017-2018,7,7,20,0,128,11,11.63,6.4,10.9,1,0,
17,SH Obed,(VAN),2019-2019,12,9,28,0,190,11,17.27,6.78,15.2,0,0,
18,NM Odhiambo,(KENYA),2010-2019,16,14,41,0,319,11,29,7.78,22.3,0,0,
19,TM Odoyo,(KENYA),2007-2013,11,10,36,0,170,11,15.45,4.72,19.6,0,0,
20,TK Patel,(USA),2019-2019,7,6,22,0,146,11,13.27,6.63,12,1,0,
21,Sikandar Raza,(Zimbabve),2013-2019,32,22,46,0,376,11,34.18,8.17,25,0,0,
22,DT Tiripano,(Zimbabve),2016-2019,10,10,34.3,0,278,11,25.27,8.05,18.8,0,0,
23,MA Wood,(England),2015-2019,5,5,17.3,0,148,11,13.45,8.45,9.5,0,0,
24,MH Yardy,(England),2006-2011,14,13,46,0,299,11,27.18,6.5,25,0,0,
25,Anwar Ali,(Pakistan),2008-2016,16,15,44.1,0,367,10,36.7,8.3,26.5,0,0,
26,P Arrighi,(Arg),2019-2019,5,5,19,2,84,10,8.4,4.42,11.4,0,1,
27,Awais Malik,(QAT),2019-2019,11,11,33,0,279,10,27.9,8.45,19.8,0,0,
28,L Balaji,(INDIA),2012-2012,5,5,16,0,121,10,12.1,7.56,9.6,0,0,
29,K Christie,(Hong Kong),2019-2019,11,11,39,0,292,10,29.2,7.48,23.4,0,0,
30,PC Connell,(Ireland),2008-2010,9,8,25.3,1,156,10,15.6,6.11,15.3,0,0,
31,C de Grandhomme,(Newzealand),2012-2019,33,18,47.5,0,432,10,43.2,9.03,28.7,0,0,
32,XJ Doherty,(Australia),2012-2013,11,11,38,0,300,10,30,7.89,22.8,0,0,
33,Fayyaz Butt,(OMAN),2019-2019,14,14,43.3,0,313,10,31.3,7.19,26.1,0,0,
34,MR Gillespie,(Newzealand),2006-2008,11,10,35,3,255,10,25.5,7.28,21,1,0,
35,RM Hira,(Newzealand),2012-2013,15,13,42.2,1,337,10,33.7,7.96,25.4,0,0,
36,JR Hopes,(Australia),2005-2010,12,12,37,0,283,10,28.3,7.64,22.2,0,0,
37,Junaid Siddiqui,(Canada),2012-2019,13,13,45,1,266,10,26.6,5.91,27,0,0,
38,BJ McCarthy,(Ireland),2017-2018,6,6,24,0,259,10,25.9,10.79,14.4,1,0,
39,Mohammed Shami,(INDIA),2014-2019,8,8,27.4,0,275,10,27.5,9.93,16.6,0,0,
40,JF Mooney,(Ireland),2009-2015,27,10,26,1,176,10,17.6,6.76,15.6,0,0,
41,PP Ojha,(INDIA),2009-2010,6,6,21,0,132,10,13.2,6.28,12.6,1,0,
42,LN Oluoch,(KENYA),2013-2019,10,10,29,1,209,10,20.9,7.2,17.4,0,0,
43,H Osinde,(Canada),2008-2013,11,11,35,0,250,10,25,7.14,21,0,0,
44,S Prasanna,(Srilanka),2013-2017,20,18,50,1,359,10,35.9,7.18,30,0,0,
45,LN Rajbanshi,(NEPAL),2018-2019,12,12,38.2,0,231,10,23.1,6.02,23,0,0,
46,CAK Rajitha,(Srilanka),2016-2019,10,10,37,0,358,10,35.8,9.67,22.2,0,0,
47,SHA Rance,(Newzealand),2017-2019,8,7,27,0,245,10,24.5,9.07,16.2,0,0,
48,Raza Hasan,(Pakistan),2012-2014,10,10,38,1,219,10,21.9,5.76,22.8,0,0,
49,KAJ Roach,(West Indies),2008-2012,11,11,39,1,284,10,28.4,7.28,23.4,0,0,
0,MD Shanaka,(Srilanka),2015-2019,35,14,24.1,0,182,10,18.2,7.53,14.5,0,0,
1,BA Stokes,(England),2011-2018,23,18,55.4,1,496,10,49.6,8.91,33.4,0,0,
2,R Vinay Kumar,(INDIA),2010-2013,9,9,31.3,0,247,10,24.7,7.84,18.9,0,0,
3,HR Walsh,(USA/WI),2019-2019,13,11,32.5,0,257,10,25.7,7.82,19.7,0,0,
4,B Ward,(JER),2019-2019,13,13,39.2,2,249,10,24.9,6.33,23.6,0,0,
5,FA Allen,(West Indies),2018-2019,11,10,31,1,214,9,23.77,6.9,20.6,0,0,
6,Atif Mehmood,(ESP),2019-2019,9,9,27,0,154,9,17.11,5.7,18,0,0,
7,Bilal Zalmai,(Aut),2019-2019,5,4,14,1,67,9,7.44,4.78,9.3,1,0,
8,DE Bollinger,(Australia),2011-2014,9,9,35,0,249,9,27.66,7.11,23.3,0,0,
9,TM Dilshan,(Srilanka),2006-2016,80,25,43,0,313,9,34.77,7.27,28.6,0,0,
10,Elias Sunny,(Bangladesh),2012-2012,7,7,23,1,146,9,16.22,6.34,15.3,0,1,
11,OD Hald,(DEN),2019-2019,9,7,21.3,0,113,9,12.55,5.25,14.3,0,0,
12,PD Hennessy,(ESP),2019-2019,8,5,12,1,86,9,9.55,7.16,8,0,0,
13,BW Hilfenhaus,(Australia),2007-2012,7,7,26,0,161,9,17.88,6.19,17.3,0,0,
14,DR Hooper,(GUE),2019-2019,9,9,31.2,0,211,9,23.44,6.73,20.8,0,0,
15,Ilyas Ahmed,(KUW),2019-2019,6,6,21,0,160,9,17.77,7.61,14,0,0,
16,TE Kane,(Ireland),2015-2019,7,5,15.2,0,143,9,15.88,9.32,10.2,0,0,
17,RK Kleinveldt,(South Africa),2008-2013,6,6,20.2,1,173,9,19.22,8.5,13.5,0,0,
18,ND Laegsgaard,(DEN),2019-2019,9,7,23,0,105,9,11.66,4.56,15.3,0,0,
19,KS Leverock,(BMUDA),2019-2019,12,8,26,0,210,9,23.33,8.07,17.3,0,0,
20,PK Matautaava,(VAN),2019-2019,10,8,28,1,199,9,22.11,7.1,18.6,0,0,
21,Md Nurul Huda,(Fin),2019-2019,5,5,16.3,0,118,9,13.11,7.15,11,0,0,
22,Mehran Khan,(OMAN),2015-2019,19,11,31,0,222,9,24.66,7.16,20.6,0,0,
23,GRD Munasinghe,(ITA),2019-2019,8,7,27,1,191,9,21.22,7.07,18,1,0,
24,S Muniandy,(MAL),2019-2019,15,12,30,0,260,9,28.88,8.66,20,0,0,
25,B Muzarabani,(Zimbabve),2018-2018,6,6,24,0,220,9,24.44,9.16,16,0,0,
26,A Neill,(Scotland),2019-2019,5,5,20,0,154,9,17.11,7.7,13.3,0,0,
27,AR Patel,(INDIA),2015-2018,11,11,39,0,265,9,29.44,6.79,26,0,0,
28,D Paterson,(South Africa),2017-2018,8,8,29.5,0,265,9,29.44,8.88,19.8,1,0,
29,WA Peatfield,(GUE),2019-2019,8,8,28,0,198,9,22,7.07,18.6,0,0,
30,Qadeer Ahmed,(UAE),2015-2019,10,10,32,1,253,9,28.11,7.9,21.3,0,0,
31,JA Richardson,(Australia),2017-2019,9,9,34,0,287,9,31.88,8.44,22.6,0,0,
32,Rizwan Cheema,(Canada),2008-2019,24,15,50,1,382,9,42.44,7.64,33.3,0,0,
33,JRMVB Sanjaya,(Srilanka),2017-2017,8,8,28.5,1,250,9,27.77,8.67,19.2,0,0,
34,L Siaka,(PNG),2015-2019,26,5,12,0,56,9,6.22,4.66,8,0,0,
35,MP Stoinis,(Australia),2015-2019,19,15,38.2,0,319,9,35.44,8.32,25.5,0,0,
36,O Thomas,(West Indies),2018-2019,10,10,37,1,326,9,36.22,8.81,24.6,0,0,
37,I Wardlaw,(Scotland),2013-2013,4,4,16,1,145,9,16.11,9.06,10.6,0,0,
38,CG Williams,(NAM),2019-2019,13,10,23,1,142,9,15.77,6.17,15.3,0,0,
39,UT Yadav,(INDIA),2012-2019,7,7,25,0,219,9,24.33,8.76,16.6,0,0,
40,Aizaz Cheema,(Pakistan),2011-2012,5,5,17,0,116,8,14.5,6.82,12.7,1,0,
41,M Ansari,(OMAN),2015-2016,11,10,37.5,0,334,8,41.75,8.82,28.3,0,0,
42,OGL Bascome,(BMUDA),2019-2019,11,6,15.1,0,117,8,14.62,7.71,11.3,1,0,
43,U Bhatti,(Canada),2008-2010,7,7,23,0,148,8,18.5,6.43,17.2,0,0,
44,CJ Boyce,(Australia),2014-2016,7,7,23,0,152,8,19,6.6,17.2,0,0,
45,CD de Lange,(Scotland),2015-2017,8,7,27,0,171,8,21.37,6.33,20.2,0,0,
46,DC Delany,(Ireland),2019-2019,8,8,28.3,0,222,8,27.75,7.78,21.3,0,0,
47,Faran Afzal,(ESP),2019-2019,9,8,29,0,143,8,17.87,4.93,21.7,0,0,
48,Fawad Alam,(Pakistan),2007-2010,24,6,15,0,95,8,11.87,6.33,11.2,0,0,
49,H Fennell,(Arg),2019-2019,5,5,12,1,57,8,7.12,4.75,9,1,0,
0,SP Gauchan,(NEPAL),2014-2015,9,8,30,0,169,8,21.12,5.63,22.5,0,0,
1,SC Getkate,(Ireland),2019-2019,14,14,35,0,323,8,40.37,9.22,26.2,0,0,
2,JOA Gordon,(Canada),2013-2019,7,7,25.5,0,184,8,23,7.12,19.3,0,0,
3,K Gore,(USA),2019-2019,4,4,16,2,70,8,8.75,4.37,12,0,0,
4,H Gori,(CZK0R),2019-2019,7,7,23,0,133,8,16.62,5.78,17.2,0,0,
5,Z Groenewald,(NAM),2019-2019,10,10,28,2,163,8,20.37,5.82,21,0,0,
6,JR Hazlewood,(Australia),2013-2016,7,7,28,0,269,8,33.62,9.6,21,1,0,
7,L Hermida,(Mex),2019-2019,5,5,18,1,94,8,11.75,5.22,13.5,0,0,
8,Inam0ul0Haq,(QAT),2019-2019,11,10,31,2,211,8,26.37,6.8,23.2,0,0,
9,Junaid Khan,(Pakistan),2011-2014,9,9,27,0,236,8,29.5,8.74,20.2,0,0,
10,P Khadka,(NEPAL),2014-2019,30,23,51,2,323,8,40.37,6.33,38.2,0,0,
11,P Kumar,(INDIA),2008-2012,10,10,26,1,193,8,24.12,7.42,19.5,0,0,
12,RAS Lakmal,(Srilanka),2011-2019,11,11,34.4,0,330,8,41.25,9.51,26,0,0,
13,AV Lalcheta,(OMAN),2015-2019,17,15,51.3,3,374,8,46.75,7.26,38.6,0,0,
14,WK McCallan,(Ireland),2008-2009,9,7,21.5,0,152,8,19,6.96,16.3,0,0,
15,Mohammad Ashraful,(Bangladesh),2007-2013,23,8,23,0,210,8,26.25,9.13,17.2,0,0,
16,Mohamed Mahfooz,(Mald),2019-2019,11,11,37.5,0,262,8,32.75,6.92,28.3,0,0,
17,GBW Munaweera,(QAT),2019-2019,5,5,18,0,132,8,16.5,7.33,13.5,0,0,
18,AK Muslar,(Blz),2019-2019,3,3,9,1,41,8,5.12,4.55,6.7,0,0,
19,Nasrulla Rana,(Hong Kong),2019-2019,8,8,20.3,0,162,8,20.25,7.9,15.3,0,0,
20,Nazmul Islam,(Bangladesh),2018-2018,13,12,38.3,2,265,8,33.12,6.88,28.8,0,0,
21,AR Nurse,(West Indies),2011-2019,13,13,40,0,318,8,39.75,7.95,30,0,0,
22,Rakibul Hasan,(ITA),2019-2019,8,7,23,2,147,8,18.37,6.39,17.2,0,0,
23,Rumman Raees,(Pakistan),2016-2018,8,8,28.5,2,220,8,27.5,7.63,21.6,0,0,
24,R Satheesan,(ROM),2019-2019,4,4,13,2,44,8,5.5,3.38,9.7,0,0,
25,I Sharma,(INDIA),2008-2013,14,14,46.2,0,400,8,50,8.63,34.7,0,0,
26,TAM Siriwardana,(Srilanka),2015-2017,22,13,23,0,206,8,25.75,8.95,17.2,0,0,
27,A Symonds,(Australia),2005-2009,14,12,30.5,0,277,8,34.62,8.98,23.1,0,0,
28,P Taylor,(CZK0R),2019-2019,7,6,18,0,144,8,18,8,13.5,1,0,
29,SN Thakur,(INDIA),2018-2018,7,7,27.3,0,242,8,30.25,8.8,20.6,1,0,
30,RJ Trott,(BMUDA),2008-2019,15,13,38.3,0,277,8,34.62,7.19,28.8,0,0,
31,R van der Merwe,(Arg),2019-2019,5,5,13,2,62,8,7.75,4.76,9.7,0,0,
32,JJ van der Wath,(South Africa),2006-2007,8,8,31,0,231,8,28.87,7.45,23.2,0,0,
33,TC Vine,(ESP),2019-2019,6,6,15,0,105,8,13.12,7,11.2,1,0,
34,C Waiswa,(UGA),2019-2019,4,4,14,0,115,8,14.37,8.21,10.5,1,0,
35,Waqar Khan,(Peru),2019-2019,4,4,13,0,86,8,10.75,6.61,9.7,0,0,
36,Abdul0Shakoor Rahimzei,(GER),2019-2019,7,6,15.3,0,101,7,14.42,6.51,13.2,0,0,
37,Bashir Shah,(DEN),2019-2019,4,4,14,0,76,7,10.85,5.42,12,0,0,
38,JP Behrendorff,(Australia),2017-2019,7,6,16,0,117,7,16.71,7.31,13.7,1,0,
39,D Bishoo,(West Indies),2011-2019,7,7,20.1,1,137,7,19.57,6.79,17.2,1,0,
40,M de Lange,(South Africa),2012-2015,6,6,23.2,0,228,7,32.57,9.77,20,0,0,
41,Delawar Khan,(DEN),2019-2019,9,7,20,1,129,7,18.42,6.45,17.1,0,0,
42,JL Denly,(England),2009-2019,10,5,11,0,85,7,12.14,7.72,9.4,1,0,
43,G Goudie,(Scotland),2010-2013,9,9,24.5,0,224,7,32,9.02,21.2,0,0,
44,Habib Ahmadzai,(Aut),2019-2019,5,5,14,1,96,7,13.71,6.85,12,1,0,
45,AS Hansra,(Canada),2012-2013,8,6,15,0,94,7,13.42,6.26,12.8,0,0,
46,JW Hastings,(Australia),2010-2016,9,9,31,0,247,7,35.28,7.96,26.5,0,0,
47,MJ Henry,(Newzealand),2014-2017,6,6,22,1,191,7,27.28,8.68,18.8,0,0,
48,Hirenkumar Patel,(Chile),2019-2019,4,4,15,0,82,7,11.71,5.46,12.8,1,0,
49,GB Hogg,(Australia),2006-2014,15,15,49,1,373,7,53.28,7.61,42,0,0,
0,Ibrarul Haq,(Saudi),2019-2019,5,5,17,0,116,7,16.57,6.82,14.5,0,0,
1,Imran Ali,(KUW),2019-2019,4,4,15,0,136,7,19.42,9.06,12.8,0,0,
2,Imran Haider,(UAE),2016-2019,11,11,31,0,250,7,35.71,8.06,26.5,0,0,
3,Jasdeep Singh,(USA),2019-2019,4,4,14,1,140,7,20,10,12,0,0,
4,LM Jongwe,(Zimbabve),2015-2016,8,7,21.2,0,211,7,30.14,9.89,18.2,0,0,
5,Junaid Siddique,(UAE),2019-2019,8,8,26.2,1,179,7,25.57,6.79,22.5,0,0,
6,S Randiv,(Srilanka),2010-2011,7,7,21,0,139,7,19.85,6.61,18,0,0,
7,NR Kumar,(Canada),2012-2019,18,10,26,0,160,7,22.85,6.15,22.2,0,0,
8,JB Little,(Ireland),2016-2019,11,11,40.4,0,367,7,52.42,9.02,34.8,0,0,
9,MF Maharoof,(Srilanka),2006-2016,8,8,27,0,199,7,28.42,7.37,23.1,0,0,
10,NA Maiolo,(ITA),2019-2019,8,7,28,0,152,7,21.71,5.42,24,0,0,
11,CS Martin,(Newzealand),2007-2008,6,6,23,1,193,7,27.57,8.39,19.7,0,0,
12,ZE Matsinhe,(Moz),2019-2019,7,5,16,0,101,7,14.42,6.31,13.7,0,0,
13,Muslim Yar,(GER),2019-2019,7,7,19,1,119,7,17,6.26,16.2,0,0,
14,CT Mutombodzi,(Zimbabve),2013-2019,13,9,26,0,188,7,26.85,7.23,22.2,0,0,
15,A Nanda,(LUX),2019-2019,3,3,7.2,0,47,7,6.71,6.4,6.2,0,1,
16,Nasir Hossain,(Bangladesh),2011-2016,31,11,29.5,0,262,7,37.42,8.78,25.5,0,0,
17,Naveen0ul0Haq,(Afghanistan),2019-2019,4,4,15,0,102,7,14.57,6.8,12.8,0,0,
18,R Panchal,(ESP),2019-2019,9,9,28,1,139,7,19.85,4.96,24,0,0,
19,SR Patel,(England),2011-2013,18,15,42,0,321,7,45.85,7.64,36,0,0,
20,A Rangaswamy,(Botsw),2019-2019,4,4,9.4,1,83,7,11.85,8.58,8.2,1,0,
21,JB Reva,(PNG),2015-2019,9,8,21.1,0,148,7,21.14,6.99,18.1,0,0,
22,MJ Ross,(ITA),2019-2019,8,7,19,0,120,7,17.14,6.31,16.2,1,0,
23,Sayed Shirzad,(Afghanistan),2015-2019,4,4,15,1,116,7,16.57,7.73,12.8,0,0,
24,B Shikongo,(NAM),2019-2019,11,10,23,0,131,7,18.71,5.69,19.7,0,0,
25,DR Smith,(West Indies),2006-2015,33,11,23.4,0,212,7,30.28,8.95,20.2,0,0,
26,M Spry,(Peru),2019-2019,4,4,10,0,62,7,8.85,6.2,8.5,1,0,
27,S Sreesanth,(INDIA),2006-2008,10,9,34,2,288,7,41.14,8.47,29.1,0,0,
28,JTS Sumerauer,(JER),2019-2019,8,8,20.1,0,155,7,22.14,7.68,17.2,0,0,
29,T Thushara,(Srilanka),2008-2010,6,6,22,0,179,7,25.57,8.13,18.8,0,0,
30,JC Tredwell,(England),2012-2014,17,15,52.5,0,416,7,59.42,7.87,45.2,0,0,
31,BM Wheeler,(Newzealand),2017-2018,6,6,21.2,0,216,7,30.85,10.12,18.2,0,0,
32,CR Woakes,(England),2011-2015,8,8,27,0,253,7,36.14,9.37,23.1,0,0,
33,M Abdulla,(MWI),2019-2019,5,3,12,0,76,6,12.66,6.33,12,0,0,
34,Abdullah Akbarjan,(Aut),2019-2019,5,4,13,0,72,6,12,5.53,13,0,0,
35,IKO Aboagye,(Ghana),2019-2019,4,4,14,0,83,6,13.83,5.92,14,0,0,
36,Abu Hider,(Bangladesh),2016-2018,13,12,36,0,330,6,55,9.16,36,0,0,
37,VD Adewoye,(NGA),2019-2019,7,7,16.2,1,135,6,22.5,8.26,16.3,1,0,
38,CM Akachukwu,(NGA),2019-2019,8,8,18.2,0,151,6,25.16,8.23,18.3,0,0,
39,Aminul Islam,(Bangladesh),2019-2019,4,4,14,0,98,6,16.33,7,14,0,0,
40,Amir Hayat,(UAE),2018-2019,4,4,14,0,103,6,17.16,7.35,14,0,0,
41,WD Balaji Rao,(Canada),2008-2008,4,4,14,0,107,6,17.83,7.64,14,0,0,
42,TL Best,(West Indies),2013-2014,6,6,20,0,154,6,25.66,7.7,20,0,0,
43,JAR Blain,(Scotland),2007-2008,6,5,20,0,108,6,18,5.4,20,0,0,
44,NM Carter,(Scotland),2013-2013,7,7,26,1,168,6,28,6.46,26,0,0,
45,JW Chilia,(VAN),2019-2019,14,13,47.2,0,315,6,52.5,6.65,47.3,0,0,
46,MJ Clarke,(Australia),2005-2010,34,15,26,0,225,6,37.5,8.65,26,0,0,
47,MNR Cooray,(Mald),2019-2019,4,4,16,0,99,6,16.5,6.18,16,0,0,
48,SM Curran,(England),2019-2019,5,5,18,0,153,6,25.5,8.5,18,0,0,
49,F Damiao Couana,(Moz),2019-2019,7,5,18.5,2,118,6,19.66,6.26,18.8,0,0,
0,S Davizi,(CZK0R),2019-2019,2,2,4.2,0,23,6,3.83,5.3,4.3,1,0,
1,S Dhaniram,(Canada),2008-2010,11,11,33.4,1,192,6,32,5.7,33.6,0,0,
2,M Faheem,(THAI),2019-2019,4,4,14,0,103,6,17.16,7.35,14,0,0,
3,Farhad Reza,(Bangladesh),2006-2014,13,11,26,0,261,6,43.5,10.03,26,0,0,
4,S Hirugade,(Mex),2019-2019,6,5,13.3,0,92,6,15.33,6.81,13.5,1,0,
5,Irfan Bhima,(MWI),2019-2019,4,4,15,3,51,6,8.5,3.4,15,0,0,
6,S Kaveri,(Mex),2019-2019,7,5,13,0,70,6,11.66,5.38,13,0,0,
7,MR Marsh,(Australia),2011-2018,11,9,19,0,156,6,26,8.21,19,0,0,
8,JL Martel,(GUE),2019-2019,3,3,11,0,59,6,9.83,5.36,11,0,0,
9,CAJ Meschede,(GER),2019-2019,5,5,20,0,115,6,19.16,5.75,20,0,0,
10,M Mooketsi,(Botsw),2019-2019,7,7,25,0,197,6,32.83,7.88,25,0,0,
11,A Morris,(Caym),2019-2019,6,6,22,1,114,6,19,5.18,22,0,0,
12,JM Muirhead,(Australia),2014-2014,5,5,15,0,109,6,18.16,7.26,15,0,0,
13,T Muzarabani,(Zimbabve),2015-2016,9,9,30,0,280,6,46.66,9.33,30,0,0,
14,M Ntini,(South Africa),2005-2011,10,10,32,0,298,6,49.66,9.31,32,0,0,
15,IE O'Brien,(Newzealand),2009-2009,4,4,13,0,116,6,19.33,8.92,13,0,0,
16,SNJ O'Keefe,(Australia),2010-2011,7,7,19,0,149,6,24.83,7.84,19,0,0,
17,IO Okpe,(NGA),2019-2019,8,8,20.5,1,188,6,31.33,9.02,20.8,0,0,
18,SA Okpe,(NGA),2019-2019,8,7,12.2,0,94,6,15.66,7.62,12.3,0,0,
19,BA Pai,(GIBR),2019-2019,4,4,15,0,82,6,13.66,5.46,15,0,0,
20,KA Reynolds,(Blz),2019-2019,3,3,11,0,60,6,10,5.45,11,0,0,
21,Rokhan Barakzai,(Afghanistan),2015-2015,3,3,10,0,75,6,12.5,7.5,10,0,0,
22,JE Root,(England),2012-2019,32,9,14,0,139,6,23.16,9.92,14,0,0,
23,Sabbir Rahman,(Bangladesh),2014-2019,44,8,11.1,0,70,6,11.66,6.26,11.1,0,0,
24,Sagar Pun,(NEPAL),2014-2015,9,8,23.3,0,131,6,21.83,5.57,23.5,0,0,
25,NA Saini,(INDIA),2019-2019,5,5,17,1,137,6,22.83,8.05,17,0,0,
26,E Schiferli,(Netherland),2008-2010,7,6,23,0,146,6,24.33,6.34,23,0,0,
27,PH Shamdasani,(Peru),2019-2019,4,4,12,1,70,6,11.66,5.83,12,0,0,
28,MM Sharma,(INDIA),2014-2015,8,8,23,0,185,6,30.83,8.04,23,0,0,
29,Shoaib Qureshi,(Fin),2019-2019,5,5,13.4,0,109,6,18.16,7.97,13.6,0,0,
30,Sidhant Singh,(SGP),2019-2019,8,8,23,0,216,6,36,9.39,23,0,0,
31,LMP Simmons,(West Indies),2007-2019,49,3,6,0,55,6,9.16,9.16,6,1,0,
32,TB Sole,(Scotland),2019-2019,9,6,21,0,137,6,22.83,6.52,21,0,0,
33,Soumya Sarkar,(Bangladesh),2015-2019,46,13,23.3,0,249,6,41.5,10.59,23.5,0,0,
34,BB Sran,(INDIA),2016-2016,2,2,8,1,41,6,6.83,5.12,8,1,0,
